Info 0    [14:10:01.767] Starting TS Server
Info 1    [14:10:01.770] Version: 4.2.4
Info 2    [14:10:01.770] Arguments: /usr/local/bin/node /Users/victoryosikwemhe/.emacs.d/.cache/lsp/npm/typescript/bin/tsserver --logFile /Users/victoryosikwemhe/PERSONAL_PROJECTS/studentrant/studentrant-api/src/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/yv/cj_n3pt10sjdr8pfbx_p900w0000gn/T/5dd858e56fcb62bd9e7765eb8d808690/tscancellation*
Info 3    [14:10:01.770] Platform: darwin NodeVersion: 14 CaseSensitive: false
Info 4    [14:10:01.770] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [14:10:01.785] Search path: /Users/victoryosikwemhe/PERSONAL_PROJECTS/studentrant/studentrant-api/src/rants/post-rant
Info 6    [14:10:01.786] For info: /Users/victoryosikwemhe/PERSONAL_PROJECTS/studentrant/studentrant-api/src/rants/post-rant/post-rant.route.js :: No config files found.
Info 7    [14:10:01.790] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [14:10:04.499] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 2708.9591670036316ms
Info 9    [14:10:04.499] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [14:10:04.499] 	Files (178)

Info 11   [14:10:04.499] -----------------------------------------------
Info 12   [14:10:04.557] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 13   [14:10:05.222] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true Elapsed: 665.0767080187798ms
Info 14   [14:10:05.222] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 15   [14:10:05.222] 	Files (108)

Info 16   [14:10:05.222] -----------------------------------------------
Info 17   [14:10:08.666] DirectoryWatcher:: Triggered with /Users/victoryosikwemhe/Library/Caches/typescript/4.2/node_modules/.staging :: WatchInfo: /Users/victoryosikwemhe/Library/Caches/typescript/4.2/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 18   [14:10:08.667] Elapsed:: 0.47749999165534973ms DirectoryWatcher:: Triggered with /Users/victoryosikwemhe/Library/Caches/typescript/4.2/node_modules/.staging :: WatchInfo: /Users/victoryosikwemhe/Library/Caches/typescript/4.2/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 19   [14:10:08.717] DirectoryWatcher:: Triggered with /Users/victoryosikwemhe/Library/Caches/typescript/4.2/node_modules/.staging/types-registry-187d1c5c/README.md :: WatchInfo: /Users/victoryosikwemhe/Library/Caches/typescript/4.2/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 20   [14:10:08.717] Elapsed:: 0.05425000190734863ms DirectoryWatcher:: Triggered with /Users/victoryosikwemhe/Library/Caches/typescript/4.2/node_modules/.staging/types-registry-187d1c5c/README.md :: WatchInfo: /Users/victoryosikwemhe/Library/Caches/typescript/4.2/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 21   [14:10:08.717] DirectoryWatcher:: Triggered with /Users/victoryosikwemhe/Library/Caches/typescript/4.2/node_modules/.staging/types-registry-187d1c5c/package.json :: WatchInfo: /Users/victoryosikwemhe/Library/Caches/typescript/4.2/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 22   [14:10:08.717] Elapsed:: 0.009124994277954102ms DirectoryWatcher:: Triggered with /Users/victoryosikwemhe/Library/Caches/typescript/4.2/node_modules/.staging/types-registry-187d1c5c/package.json :: WatchInfo: /Users/victoryosikwemhe/Library/Caches/typescript/4.2/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 23   [14:10:08.717] DirectoryWatcher:: Triggered with /Users/victoryosikwemhe/Library/Caches/typescript/4.2/node_modules/.staging/types-registry-187d1c5c/index.json :: WatchInfo: /Users/victoryosikwemhe/Library/Caches/typescript/4.2/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
